x,y,RoadType,lon,lat
2679725,1247475,rt433,8.494235398003436,47.373290061576434
2682159,1247194,rt433,8.526407482018682,47.37046394378952
2681895,1249463,rt433,8.523327804510863,47.390902783442485
2684874,1251814,rt433,8.563225726057828,47.411668842861346
2681393,1248735,rt432,8.516547189758244,47.38441782690226
2683540,1252303,rt433,8.545643666168562,47.41623713734749
2681768,1253127,rt433,8.522316043553,47.42387003607102
2684450,1248428,rt439,8.556969019504088,47.38127211088803
2681627,1249083,rt432,8.519709248004178,47.38751856934467
2682646,1251951,rt433,8.53373340025345,47.41318433010764
2683256,1252391,rt433,8.541897168916977,47.41706451564946
2683322,1247923,rt433,8.541939243005427,47.376874087143854
2683323,1247987,rt433,8.541964397646309,47.377449535678466
2683915,1253009,rt432,8.550744845463209,47.42253866864975
2682396,1248540,rt433,8.529792736892418,47.38253944409732
2681634,1249519,rt432,8.519881505563532,47.39143880722313
2680959,1248392,rt439,8.51073820377298,47.381386567512884
2683179,1247956,rt433,8.540052080360999,47.37718893569973
2681817,1245778,rt433,8.521621270827122,47.357771800453015
2682837,1246390,rt433,8.53523426564332,47.36314837346845
2681255,1245671,rt432,8.514163709602071,47.35687901917208
2682540,1247739,rt439,8.531551749284375,47.37531772919276
2681739,1245837,rt433,8.520599698067318,47.358312090902885
2681959,1246871,rt433,8.52370069783174,47.367583976525374
2682867,1253581,rt433,8.536963687089989,47.427815545204965
2683888,1251224,rt433,8.550052025800333,47.40648917432224
2685246,1246479,rt432,8.567137583415253,47.36364159775557
2682353,1243612,rt433,8.52831718329425,47.338225216810386
2682768,1250283,rt432,8.535040971411771,47.39816819743396
2679089,1249084,rt432,8.486099702130169,47.38783714232722
2684679,1247902,rt433,8.559901653516704,47.37651222905354
2683590,1251354,rt439,8.546128672922029,47.40769619258545
2682522,1250190,rt432,8.531765505411348,47.39736268610276
2683320,1247939,rt433,8.54191574192859,47.377018233809835
2683117,1247651,rt433,8.539174567781663,47.374453782544165
2679080,1251691,rt433,8.486441514436818,47.41128397757212
2682336,1251439,rt432,8.529531937019915,47.40861860439199
2681225,1247505,rt433,8.514099341060502,47.37337668003198
2684497,1246728,rt433,8.557270433491542,47.365977400594886
2682037,1249105,rt433,8.52514271162348,47.38766549437034
2681446,1247900,rt433,8.517097036522793,47.376901796890735
2682056,1247937,rt433,8.525180141429276,47.377158870039736
2679312,1253564,rt432,8.489847595533794,47.42810056934698
2683232,1247661,rt433,8.540698938236572,47.37452920028452
2685673,1245798,rt432,8.572659274386039,47.357461754554905
2681750,1246868,rt433,8.520933498931832,47.367582955098385
2679840,1250849,rt433,8.49635999971679,47.40361987284584
2679017,1249093,rt432,8.48514781847712,47.38792672278115
2679961,1248695,rt433,8.49757777836022,47.38423344633828
2678886,1248003,rt433,8.483220871560313,47.3781395771894
2681956,1249613,rt433,8.524163130921266,47.392244199276576
2683221,1252058,rt433,8.541371417042225,47.414074187387484
2682806,1247515,rt433,8.535032005690796,47.373269838516286
2683661,1248277,rt433,8.546493714457505,47.380014776866105
2682822,1242707,rt433,8.534354968812055,47.33002736868146
2682278,1244325,rt433,8.527455810141118,47.34464693026939
2680901,1248069,rt432,8.509911835153206,47.37848882269744
2681875,1249477,rt433,8.523065499724538,47.39103117646365
2682454,1246502,rt433,8.530185331427564,47.36420366257278
2682568,1248812,rt433,8.532120424228447,47.38496410407175
2684264,1246586,rt433,8.554159469307024,47.36473017450663
2681529,1247738,rt433,8.518166438811923,47.375434601544555
2682875,1249188,rt433,8.536255319791335,47.38830705325031
2683628,1252637,rt433,8.546872135186625,47.41922970738909
2684382,1248192,rt433,8.556024139515515,47.379158398199415
2682099,1243254,rt439,8.524891127642888,47.33503721936862
2683864,1246324,rt433,8.54881568519431,47.362424929077335
2681538,1248962,rt433,8.518508611497353,47.386441393166464
2682210,1248151,rt433,8.527258399659345,47.379064257338264
2683057,1247851,rt439,8.538417326213708,47.376260022098236
2679624,1249782,rt432,8.493308764454598,47.39405009019112
2681221,1247444,rt433,8.51403531708107,47.37282857474755
2687277,1251066,rt432,8.594915474844852,47.404627816005
2683440,1248101,rt433,8.543534727148018,47.37845997208809
2681917,1246847,rt433,8.523140329308557,47.367373356473344
2678519,1249432,rt432,8.478612441256566,47.391035036122865
2680376,1247351,rt433,8.502831739593182,47.37209579356613
2682776,1248767,rt432,8.534866404693549,47.384533302057584
2681509,1248870,rt439,8.518107826002888,47.385617591472965
2681442,1252075,rt432,8.517804301997165,47.41444951522026
2686840,1245902,rt433,8.588124553871067,47.35824434178847
2679690,1248052,rt433,8.49387475848612,47.378483509452956
2680593,1249434,rt439,8.506079676719299,47.39080255293277
2679442,1249857,rt433,8.490911637771271,47.3947465690654
2684593,1245192,rt432,8.558251073025971,47.35215125074786
2682856,1252986,rt433,8.536707560860018,47.422465956489546
2684963,1246027,rt433,8.56330590250971,47.35961314017437
2683866,1253960,rt432,8.550274073606928,47.43109745131707
2683091,1247963,rt433,8.538888267820216,47.37726299238963
2680744,1247992,rt433,8.50781921559267,47.37781558806652
2682195,1246077,rt433,8.526679016889284,47.360413809158
2682526,1243996,rt432,8.530676722049511,47.34165708303307
2686330,1250686,rt432,8.58229754621731,47.40133521781691
2682357,1249119,rt432,8.52938290083656,47.38775147437984
2684887,1246841,rt433,8.562454313272804,47.366943530747214
2685015,1247010,rt433,8.56418077856902,47.36844690674369
2679791,1248145,rt433,8.495228612498932,47.379307675408064
2684709,1251339,rt433,8.5609497222223,47.40741830220772
2683315,1247878,rt433,8.541838187585567,47.376470271059745
